Plataforma,Ventas_europeas,Calificacion_critica
3DS,4019999.9999999995,85.0
3DS,3000000.0,90.0
3DS,3140000.0,78.0
3DS,2360000.0,88.0
3DS,1390000.0,86.0
3DS,480000.0,86.0
3DS,1010000.0,91.0
3DS,1020000.0,66.0
3DS,550000.0,89.0
3DS,410000.0,75.0
3DS,450000.0,92.0
3DS,640000.0,57.0
3DS,340000.0,80.0
3DS,260000.0,75.0
3DS,530000.0,64.0
3DS,350000.0,83.0
3DS,290000.0,59.0
3DS,350000.0,69.0
3DS,440000.0,85.0
3DS,260000.0,56.0
3DS,430000.0,67.0
3DS,370000.0,73.0
3DS,330000.0,73.0
3DS,470000.0,66.0
3DS,290000.0,69.0
3DS,360000.0,71.0
3DS,270000.0,81.0
3DS,140000.0,81.0
3DS,200000.0,71.0
3DS,170000.0,74.0
3DS,360000.0,61.0
3DS,220000.0,82.0
3DS,190000.0,75.0
3DS,260000.0,79.0
3DS,370000.0,52.0
3DS,480000.0,81.0
3DS,280000.0,72.0
3DS,20000.0,76.0
3DS,70000.0,83.0
3DS,350000.0,61.0
3DS,200000.0,62.0
3DS,270000.0,71.0
3DS,70000.0,56.0
3DS,10000.0,73.0
3DS,200000.0,82.0
3DS,70000.0,69.0
3DS,70000.0,78.0
3DS,150000.0,75.0
3DS,150000.0,55.0
3DS,140000.0,59.0
3DS,160000.0,65.0
3DS,120000.0,76.0
3DS,160000.0,43.0
3DS,90000.0,58.0
3DS,100000.0,81.0
3DS,130000.0,78.0
3DS,40000.0,81.0
3DS,210000.0,79.0
3DS,130000.0,74.0
3DS,120000.0,47.0
3DS,140000.0,76.0
3DS,190000.0,71.0
3DS,160000.0,61.0
3DS,40000.0,70.0
3DS,10000.0,49.0
3DS,60000.0,44.0
3DS,50000.0,61.0
3DS,40000.0,75.0
3DS,10000.0,78.0
3DS,110000.0,78.0
3DS,130000.0,73.0
3DS,80000.0,83.0
3DS,40000.0,57.0
3DS,90000.0,77.0
3DS,30000.0,61.0
3DS,40000.0,80.0
3DS,150000.0,49.0
3DS,100000.0,65.0
3DS,130000.0,68.0
3DS,70000.0,53.0
3DS,200000.0,68.0
3DS,90000.0,47.0
3DS,90000.0,68.0
3DS,90000.0,69.0
3DS,10000.0,80.0
3DS,10000.0,67.0
3DS,10000.0,79.0
3DS,120000.0,68.0
3DS,60000.0,71.0
3DS,10000.0,77.0
3DS,60000.0,71.0
3DS,20000.0,54.0
3DS,70000.0,69.0
3DS,20000.0,58.0
3DS,50000.0,69.0
3DS,70000.0,69.0
3DS,30000.0,54.0
3DS,70000.0,64.0
3DS,90000.0,60.0
3DS,90000.0,65.0
3DS,50000.0,64.0
3DS,80000.0,59.0
3DS,50000.0,53.0
3DS,70000.0,60.0
3DS,20000.0,71.0
3DS,90000.0,56.0
3DS,40000.0,43.0
3DS,80000.0,71.0
3DS,10000.0,59.0
3DS,30000.0,82.0
3DS,40000.0,90.0
3DS,40000.0,75.0
3DS,30000.0,42.0
3DS,40000.0,71.0
3DS,30000.0,50.0
3DS,10000.0,72.0
3DS,20000.0,62.0
3DS,50000.0,58.0
3DS,10000.0,64.0
3DS,20000.0,54.0
3DS,30000.0,55.0
3DS,40000.0,51.0
3DS,20000.0,58.0
3DS,40000.0,48.0
3DS,10000.0,58.0
3DS,40000.0,71.0
3DS,20000.0,51.0
3DS,30000.0,61.0
3DS,70000.0,65.0
3DS,40000.0,60.0
3DS,20000.0,54.0
3DS,60000.0,51.0
3DS,10000.0,64.0
3DS,40000.0,43.0
3DS,10000.0,49.0
3DS,10000.0,43.0
3DS,10000.0,26.0
