Plataforma,Ventas_japonesas,Calificacion_critica
GBA,2060000.0,76.0
GBA,910000.0,84.0
GBA,990000.0,93.0
GBA,50000.0,79.0
GBA,50000.0,79.0
GBA,330000.0,95.0
GBA,910000.0,81.0
GBA,540000.0,88.0
GBA,220000.0,87.0
GBA,890000.0,87.0
GBA,40000.0,55.0
GBA,290000.0,78.0
GBA,50000.0,76.0
GBA,350000.0,76.0
GBA,210000.0,83.0
GBA,400000.0,91.0
GBA,80000.0,64.0
GBA,170000.0,92.0
GBA,1390000.0,84.0
GBA,220000.0,89.0
GBA,80000.0,79.0
GBA,120000.0,80.0
GBA,270000.0,86.0
GBA,210000.0,81.0
GBA,370000.0,86.0
GBA,280000.0,54.0
GBA,290000.0,88.0
GBA,50000.0,91.0
GBA,240000.0,84.0
GBA,300000.0,85.0
GBA,140000.0,77.0
GBA,300000.0,72.0
GBA,170000.0,55.0
GBA,170000.0,73.0
GBA,300000.0,60.0
GBA,220000.0,85.0
GBA,110000.0,81.0
GBA,130000.0,66.0
GBA,240000.0,82.0
GBA,190000.0,81.0
GBA,310000.0,88.0
GBA,120000.0,53.0
GBA,70000.0,58.0
GBA,170000.0,81.0
GBA,220000.0,79.0
GBA,200000.0,66.0
GBA,90000.0,74.0
GBA,160000.0,74.0
GBA,170000.0,76.0
GBA,280000.0,92.0
GBA,260000.0,83.0
GBA,40000.0,87.0
GBA,100000.0,88.0
GBA,100000.0,66.0
GBA,60000.0,79.0
GBA,80000.0,82.0
GBA,40000.0,78.0
GBA,150000.0,62.0
GBA,90000.0,58.0
