Plataforma,Ventas_japonesas,Calificacion_critica
GC,1390000.0,92.0
GC,870000.0,92.0
GC,890000.0,96.0
GC,460000.0,78.0
GC,990000.0,87.0
GC,100000.0,97.0
GC,210000.0,73.0
GC,700000.0,73.0
GC,920000.0,70.0
GC,460000.0,87.0
GC,730000.0,69.0
GC,50000.0,75.0
GC,30000.0,90.0
GC,300000.0,82.0
GC,220000.0,96.0
GC,600000.0,71.0
GC,560000.0,89.0
GC,450000.0,61.0
GC,200000.0,76.0
GC,60000.0,72.0
GC,40000.0,96.0
GC,460000.0,64.0
GC,250000.0,81.0
GC,60000.0,87.0
GC,110000.0,93.0
GC,360000.0,80.0
GC,100000.0,87.0
GC,250000.0,76.0
GC,240000.0,80.0
GC,70000.0,92.0
GC,60000.0,57.0
GC,310000.0,64.0
GC,460000.0,80.0
GC,10000.0,83.0
GC,560000.0,90.0
GC,10000.0,76.0
GC,460000.0,76.0
GC,310000.0,86.0
GC,190000.0,67.0
GC,450000.0,74.0
GC,10000.0,70.0
GC,120000.0,89.0
GC,120000.0,93.0
GC,90000.0,80.0
GC,160000.0,85.0
GC,20000.0,69.0
GC,70000.0,85.0
GC,20000.0,63.0
GC,70000.0,76.0
GC,70000.0,55.0
GC,60000.0,81.0
GC,40000.0,72.0
GC,150000.0,71.0
GC,20000.0,62.0
GC,20000.0,75.0
GC,40000.0,67.0
GC,30000.0,58.0
GC,50000.0,60.0
GC,10000.0,56.0
