Plataforma,Ventas_europeas,Calificacion_critica
N64,1890000.0,99.0
N64,750000.0,97.0
N64,2009999.9999999998,96.0
N64,670000.0,95.0
N64,2850000.0,94.0
N64,180000.0,93.0
N64,1130000.0,92.0
N64,580000.0,92.0
N64,220000.0,92.0
N64,400000.0,91.0
N64,180000.0,91.0
N64,220000.0,90.0
N64,790000.0,90.0
N64,90000.0,90.0
N64,360000.0,90.0
N64,90000.0,89.0
N64,270000.0,89.0
N64,150000.0,88.0
N64,990000.0,88.0
N64,580000.0,88.0
N64,410000.0,86.0
N64,330000.0,85.0
N64,460000.0,85.0
N64,20000.0,85.0
N64,160000.0,84.0
N64,140000.0,84.0
N64,30000.0,83.0
N64,1940000.0,83.0
N64,110000.0,82.0
N64,80000.0,81.0
N64,380000.0,81.0
N64,280000.0,80.0
N64,30000.0,80.0
N64,240000.0,80.0
N64,600000.0,79.0
N64,530000.0,79.0
N64,60000.0,78.0
N64,100000.0,78.0
N64,50000.0,77.0
N64,680000.0,77.0
N64,50000.0,77.0
N64,60000.0,77.0
N64,30000.0,75.0
N64,160000.0,74.0
N64,40000.0,74.0
N64,40000.0,73.0
N64,80000.0,73.0
N64,90000.0,72.0
N64,80000.0,71.0
N64,70000.0,71.0
N64,20000.0,67.0
N64,530000.0,65.0
N64,380000.0,61.0
N64,60000.0,57.0
N64,10000.0,57.0
