Plataforma,Ventas_japonesas,Calificacion_critica
N64,1450000.0,99.0
N64,160000.0,97.0
N64,130000.0,96.0
N64,730000.0,95.0
N64,1910000.0,94.0
N64,590000.0,93.0
N64,550000.0,92.0
N64,340000.0,92.0
N64,1060000.0,91.0
N64,650000.0,91.0
N64,1090000.0,90.0
N64,170000.0,90.0
N64,250000.0,90.0
N64,70000.0,89.0
N64,20000.0,89.0
N64,190000.0,88.0
N64,890000.0,88.0
N64,640000.0,88.0
N64,40000.0,86.0
N64,290000.0,85.0
N64,80000.0,85.0
N64,50000.0,85.0
N64,2230000.0,83.0
N64,20000.0,81.0
N64,70000.0,80.0
N64,300000.0,80.0
N64,1970000.0,79.0
N64,870000.0,79.0
N64,110000.0,78.0
N64,40000.0,78.0
N64,660000.0,77.0
N64,1030000.0,77.0
N64,1010000.0,74.0
N64,140000.0,71.0
N64,230000.0,67.0
N64,980000.0,65.0
N64,20000.0,61.0
N64,930000.0,57.0
