Plataforma,Ventas_europeas,Calificacion_critica
PC,6420000.0,86.0
PC,6210000.0,93.0
PC,2160000.0,88.0
PC,1680000.0,93.0
PC,1520000.0,91.0
PC,2120000.0,94.0
PC,1560000.0,79.0
PC,1210000.0,75.0
PC,1820000.0,70.0
PC,1180000.0,82.0
PC,1010000.0,85.0
PC,1430000.0,89.0
PC,820000.0,83.0
PC,20000.0,96.0
PC,1070000.0,90.0
PC,830000.0,74.0
PC,320000.0,90.0
PC,800000.0,80.0
PC,760000.0,82.0
PC,980000.0,78.0
PC,870000.0,74.0
PC,520000.0,90.0
PC,660000.0,86.0
PC,810000.0,81.0
PC,1580000.0,94.0
PC,870000.0,88.0
PC,690000.0,74.0
PC,1160000.0,84.0
PC,1130000.0,83.0
PC,770000.0,64.0
PC,870000.0,81.0
PC,130000.0,91.0
PC,670000.0,84.0
PC,50000.0,76.0
PC,1010000.0,85.0
PC,50000.0,74.0
PC,690000.0,96.0
PC,450000.0,84.0
PC,1060000.0,84.0
PC,1140000.0,83.0
PC,950000.0,86.0
PC,1120000.0,92.0
PC,1120000.0,86.0
PC,970000.0,90.0
PC,20000.0,87.0
PC,70000.0,86.0
PC,880000.0,91.0
PC,930000.0,93.0
PC,440000.0,89.0
PC,620000.0,88.0
PC,810000.0,65.0
PC,560000.0,88.0
PC,530000.0,80.0
PC,410000.0,89.0
PC,510000.0,71.0
PC,790000.0,86.0
PC,790000.0,90.0
PC,320000.0,95.0
PC,480000.0,80.0
PC,450000.0,86.0
PC,340000.0,85.0
PC,530000.0,76.0
PC,460000.0,93.0
PC,530000.0,87.0
PC,360000.0,89.0
PC,690000.0,91.0
PC,320000.0,77.0
PC,160000.0,84.0
PC,590000.0,89.0
PC,530000.0,81.0
PC,300000.0,94.0
PC,580000.0,64.0
PC,380000.0,84.0
PC,600000.0,85.0
PC,330000.0,82.0
PC,440000.0,80.0
PC,230000.0,70.0
PC,390000.0,76.0
PC,310000.0,90.0
PC,530000.0,86.0
PC,340000.0,88.0
PC,250000.0,90.0
PC,180000.0,81.0
PC,300000.0,86.0
PC,330000.0,70.0
PC,450000.0,86.0
PC,240000.0,91.0
PC,290000.0,88.0
PC,280000.0,91.0
PC,50000.0,78.0
PC,460000.0,91.0
PC,230000.0,72.0
PC,450000.0,36.0
PC,450000.0,85.0
PC,360000.0,87.0
PC,450000.0,85.0
PC,440000.0,80.0
PC,290000.0,74.0
