Plataforma,Ventas_norteamerica,Calificacion_critica
PS3,7020000.0,97.0
PS3,4990000.0,83.0
PS3,5540000.0,88.0
PS3,5990000.0,88.0
PS3,2960000.0,84.0
PS3,4990000.0,94.0
PS3,4760000.0,98.0
PS3,4099999.9999999995,71.0
PS3,1060000.0,88.0
PS3,2850000.0,85.0
PS3,2770000.0,92.0
PS3,3110000.0,94.0
PS3,3270000.0,96.0
PS3,2790000.0,95.0
PS3,780000.0,86.0
PS3,2640000.0,85.0
PS3,2550000.0,92.0
PS3,2630000.0,94.0
PS3,2410000.0,95.0
PS3,2800000.0,95.0
PS3,2540000.0,91.0
PS3,2710000.0,96.0
PS3,2730000.0,85.0
PS3,1740000.0,83.0
PS3,1960000.0,84.0
PS3,610000.0,89.0
PS3,2310000.0,88.0
PS3,1910000.0,81.0
PS3,2740000.0,92.0
PS3,1740000.0,86.0
PS3,2240000.0,91.0
PS3,1410000.0,80.0
PS3,1280000.0,80.0
PS3,2029999.9999999998,94.0
PS3,2150000.0,90.0
PS3,1530000.0,84.0
PS3,2130000.0,76.0
PS3,1330000.0,88.0
PS3,600000.0,91.0
PS3,1300000.0,80.0
PS3,1830000.0,91.0
PS3,880000.0,90.0
PS3,720000.0,81.0
PS3,1270000.0,89.0
PS3,1520000.0,82.0
PS3,1690000.0,93.0
PS3,880000.0,74.0
PS3,1290000.0,87.0
PS3,1400000.0,91.0
PS3,1330000.0,88.0
PS3,1760000.0,85.0
PS3,1980000.0,84.0
PS3,1870000.0,90.0
PS3,1280000.0,75.0
PS3,1050000.0,89.0
PS3,1450000.0,84.0
PS3,1200000.0,79.0
PS3,690000.0,84.0
PS3,780000.0,79.0
PS3,1700000.0,91.0
PS3,480000.0,87.0
PS3,2110000.0,83.0
PS3,1730000.0,90.0
PS3,860000.0,82.0
PS3,1150000.0,87.0
PS3,1560000.0,82.0
PS3,290000.0,77.0
PS3,2040000.0,83.0
PS3,2029999.9999999998,85.0
PS3,1070000.0,76.0
PS3,1020000.0,80.0
PS3,300000.0,78.0
PS3,1080000.0,71.0
PS3,1340000.0,80.0
PS3,1930000.0,79.0
PS3,1230000.0,80.0
PS3,1400000.0,83.0
PS3,1050000.0,91.0
PS3,1010000.0,71.0
PS3,340000.0,80.0
PS3,590000.0,83.0
PS3,1620000.0,90.0
PS3,1440000.0,84.0
PS3,1200000.0,83.0
PS3,630000.0,59.0
PS3,730000.0,73.0
PS3,750000.0,89.0
PS3,580000.0,64.0
PS3,1050000.0,88.0
PS3,1480000.0,76.0
PS3,790000.0,80.0
PS3,1010000.0,87.0
PS3,730000.0,78.0
PS3,1100000.0,84.0
PS3,720000.0,86.0
PS3,1560000.0,85.0
PS3,1600000.0,76.0
PS3,590000.0,87.0
PS3,770000.0,82.0
PS3,1050000.0,83.0
PS3,970000.0,89.0
PS3,1410000.0,89.0
PS3,1070000.0,84.0
PS3,450000.0,83.0
PS3,350000.0,81.0
PS3,410000.0,78.0
PS3,830000.0,95.0
PS3,720000.0,94.0
PS3,880000.0,82.0
PS3,960000.0,87.0
PS3,810000.0,83.0
PS3,570000.0,79.0
PS3,520000.0,70.0
PS3,990000.0,92.0
PS3,40000.0,74.0
PS3,600000.0,76.0
PS3,580000.0,84.0
PS3,850000.0,88.0
PS3,180000.0,82.0
PS3,720000.0,89.0
PS3,920000.0,88.0
PS3,600000.0,85.0
PS3,600000.0,80.0
PS3,800000.0,63.0
PS3,1130000.0,91.0
PS3,500000.0,75.0
PS3,640000.0,83.0
PS3,720000.0,85.0
PS3,780000.0,94.0
PS3,750000.0,94.0
PS3,630000.0,93.0
PS3,730000.0,89.0
PS3,450000.0,80.0
PS3,800000.0,85.0
PS3,480000.0,55.0
PS3,430000.0,85.0
PS3,500000.0,89.0
PS3,430000.0,80.0
PS3,240000.0,78.0
PS3,510000.0,76.0
PS3,430000.0,82.0
PS3,660000.0,81.0
PS3,810000.0,84.0
PS3,250000.0,84.0
PS3,760000.0,84.0
PS3,620000.0,74.0
PS3,470000.0,81.0
PS3,550000.0,79.0
PS3,720000.0,75.0
PS3,460000.0,85.0
PS3,460000.0,72.0
PS3,400000.0,91.0
PS3,710000.0,86.0
PS3,430000.0,85.0
PS3,330000.0,80.0
PS3,450000.0,75.0
PS3,560000.0,76.0
PS3,940000.0,63.0
PS3,470000.0,86.0
PS3,650000.0,79.0
