Plataforma,Ventas_europeas,Calificacion_critica
PS4,6310000.0,97.0
PS4,6120000.0,82.0
PS4,3480000.0,83.0
PS4,5750000.0,85.0
PS4,3270000.0,87.0
PS4,4330000.0,82.0
PS4,2069999.9999999998,76.0
PS4,2500000.0,93.0
PS4,1710000.0,86.0
PS4,2000000.0,77.0
PS4,2150000.0,88.0
PS4,1900000.0,80.0
PS4,2180000.0,85.0
PS4,2130000.0,92.0
PS4,2069999.9999999998,70.0
PS4,1690000.0,87.0
PS4,660000.0,87.0
PS4,1430000.0,78.0
PS4,1700000.0,80.0
PS4,1550000.0,85.0
PS4,1360000.0,93.0
PS4,1990000.0,76.0
PS4,300000.0,83.0
PS4,1850000.0,87.0
PS4,1430000.0,84.0
PS4,1310000.0,83.0
PS4,980000.0,80.0
PS4,800000.0,83.0
PS4,1330000.0,73.0
PS4,810000.0,92.0
PS4,540000.0,83.0
PS4,1250000.0,76.0
PS4,1190000.0,73.0
PS4,250000.0,81.0
PS4,850000.0,90.0
PS4,940000.0,73.0
PS4,670000.0,74.0
PS4,1380000.0,71.0
PS4,880000.0,89.0
PS4,920000.0,80.0
PS4,790000.0,86.0
PS4,930000.0,79.0
PS4,270000.0,88.0
PS4,1030000.0,73.0
PS4,1080000.0,68.0
PS4,860000.0,75.0
PS4,170000.0,82.0
PS4,780000.0,63.0
PS4,680000.0,54.0
PS4,1080000.0,61.0
PS4,760000.0,71.0
PS4,900000.0,79.0
PS4,450000.0,89.0
PS4,760000.0,83.0
PS4,800000.0,79.0
PS4,310000.0,85.0
PS4,470000.0,75.0
PS4,600000.0,73.0
PS4,570000.0,62.0
PS4,450000.0,79.0
PS4,580000.0,83.0
PS4,570000.0,79.0
PS4,520000.0,69.0
PS4,700000.0,83.0
PS4,410000.0,70.0
PS4,640000.0,90.0
PS4,410000.0,76.0
PS4,490000.0,79.0
PS4,400000.0,73.0
PS4,80000.0,80.0
PS4,280000.0,77.0
PS4,420000.0,70.0
PS4,130000.0,74.0
PS4,330000.0,82.0
PS4,380000.0,80.0
PS4,420000.0,87.0
PS4,250000.0,89.0
PS4,450000.0,82.0
PS4,350000.0,71.0
PS4,370000.0,80.0
PS4,270000.0,73.0
PS4,430000.0,78.0
PS4,340000.0,67.0
PS4,310000.0,71.0
PS4,450000.0,65.0
PS4,320000.0,88.0
PS4,160000.0,78.0
PS4,290000.0,75.0
PS4,380000.0,72.0
PS4,340000.0,69.0
PS4,190000.0,60.0
PS4,240000.0,75.0
PS4,250000.0,61.0
PS4,240000.0,68.0
PS4,210000.0,81.0
PS4,220000.0,74.0
PS4,270000.0,85.0
PS4,180000.0,78.0
PS4,250000.0,76.0
PS4,220000.0,79.0
PS4,160000.0,75.0
PS4,310000.0,69.0
PS4,150000.0,72.0
PS4,150000.0,85.0
PS4,150000.0,72.0
PS4,120000.0,79.0
PS4,130000.0,72.0
PS4,50000.0,78.0
PS4,210000.0,84.0
PS4,190000.0,84.0
PS4,280000.0,85.0
PS4,270000.0,85.0
PS4,130000.0,73.0
PS4,210000.0,48.0
PS4,130000.0,66.0
PS4,160000.0,69.0
PS4,260000.0,81.0
PS4,140000.0,77.0
PS4,80000.0,78.0
