Plataforma,Ventas_europeas,Calificacion_critica
PS,3870000.0,96.0
PS,2470000.0,92.0
PS,3420000.0,93.0
PS,1720000.0,90.0
PS,2220000.0,96.0
PS,1750000.0,91.0
PS,2800000.0,87.0
PS,1830000.0,94.0
PS,1470000.0,89.0
PS,1890000.0,89.0
PS,770000.0,94.0
PS,2460000.0,85.0
PS,1160000.0,91.0
PS,1380000.0,92.0
PS,1570000.0,88.0
PS,2100000.0,62.0
PS,1410000.0,98.0
PS,1970000.0,91.0
PS,2000000.0,64.0
PS,1580000.0,91.0
PS,2069999.9999999998,70.0
PS,1470000.0,68.0
PS,1250000.0,87.0
PS,860000.0,88.0
PS,1090000.0,92.0
PS,120000.0,83.0
PS,640000.0,86.0
PS,70000.0,81.0
PS,460000.0,88.0
PS,640000.0,87.0
PS,160000.0,92.0
PS,440000.0,74.0
PS,420000.0,94.0
PS,50000.0,90.0
PS,490000.0,87.0
PS,480000.0,90.0
PS,480000.0,86.0
PS,870000.0,74.0
PS,190000.0,84.0
PS,540000.0,77.0
PS,530000.0,88.0
PS,400000.0,93.0
PS,260000.0,69.0
PS,470000.0,86.0
PS,440000.0,85.0
PS,490000.0,86.0
PS,270000.0,83.0
PS,430000.0,51.0
PS,170000.0,81.0
PS,100000.0,80.0
PS,110000.0,82.0
PS,130000.0,83.0
PS,400000.0,91.0
PS,390000.0,42.0
PS,120000.0,93.0
PS,80000.0,86.0
PS,380000.0,73.0
PS,380000.0,88.0
PS,370000.0,86.0
PS,350000.0,66.0
PS,350000.0,61.0
PS,800000.0,90.0
PS,110000.0,83.0
PS,330000.0,48.0
PS,200000.0,92.0
PS,330000.0,53.0
PS,40000.0,78.0
PS,310000.0,73.0
PS,50000.0,81.0
PS,300000.0,80.0
PS,300000.0,34.0
PS,290000.0,78.0
PS,210000.0,76.0
PS,270000.0,72.0
PS,150000.0,39.0
PS,270000.0,43.0
PS,100000.0,82.0
PS,250000.0,69.0
PS,250000.0,58.0
PS,240000.0,88.0
PS,240000.0,54.0
PS,220000.0,70.0
PS,160000.0,42.0
PS,220000.0,77.0
PS,220000.0,79.0
PS,80000.0,83.0
PS,210000.0,65.0
PS,180000.0,78.0
PS,200000.0,80.0
PS,200000.0,51.0
PS,200000.0,55.0
PS,200000.0,89.0
PS,200000.0,73.0
PS,200000.0,68.0
PS,190000.0,81.0
PS,70000.0,66.0
PS,170000.0,65.0
PS,170000.0,63.0
PS,160000.0,76.0
PS,160000.0,91.0
PS,160000.0,69.0
PS,100000.0,65.0
PS,120000.0,76.0
PS,160000.0,56.0
PS,150000.0,84.0
PS,150000.0,62.0
PS,150000.0,62.0
PS,140000.0,54.0
PS,20000.0,83.0
PS,130000.0,86.0
PS,130000.0,89.0
PS,120000.0,69.0
PS,70000.0,82.0
PS,120000.0,85.0
PS,120000.0,26.0
PS,120000.0,66.0
PS,110000.0,53.0
PS,110000.0,74.0
PS,110000.0,71.0
PS,60000.0,84.0
PS,100000.0,51.0
PS,100000.0,67.0
PS,100000.0,57.0
PS,100000.0,71.0
PS,100000.0,76.0
PS,30000.0,66.0
PS,100000.0,93.0
PS,100000.0,30.0
PS,90000.0,53.0
PS,90000.0,89.0
PS,90000.0,48.0
PS,90000.0,61.0
PS,90000.0,78.0
PS,90000.0,86.0
PS,80000.0,40.0
PS,80000.0,26.0
PS,80000.0,28.0
PS,70000.0,84.0
PS,70000.0,72.0
PS,70000.0,68.0
PS,70000.0,51.0
PS,70000.0,60.0
PS,70000.0,73.0
PS,60000.0,35.0
PS,10000.0,49.0
PS,60000.0,61.0
PS,60000.0,77.0
PS,60000.0,55.0
PS,60000.0,57.0
PS,60000.0,30.0
PS,60000.0,81.0
PS,60000.0,76.0
PS,60000.0,65.0
PS,50000.0,70.0
PS,50000.0,69.0
PS,50000.0,53.0
PS,50000.0,83.0
PS,50000.0,69.0
PS,50000.0,75.0
PS,50000.0,64.0
PS,50000.0,63.0
PS,50000.0,79.0
PS,50000.0,72.0
PS,50000.0,70.0
PS,40000.0,43.0
PS,40000.0,46.0
PS,40000.0,64.0
PS,40000.0,51.0
PS,40000.0,82.0
PS,40000.0,68.0
PS,40000.0,61.0
PS,30000.0,85.0
PS,30000.0,63.0
PS,30000.0,85.0
PS,30000.0,69.0
PS,30000.0,80.0
PS,30000.0,37.0
PS,30000.0,62.0
PS,30000.0,79.0
PS,30000.0,57.0
PS,20000.0,57.0
PS,20000.0,27.0
PS,20000.0,34.0
PS,20000.0,76.0
PS,20000.0,48.0
PS,20000.0,69.0
PS,20000.0,73.0
PS,20000.0,62.0
PS,20000.0,71.0
PS,20000.0,74.0
PS,10000.0,41.0
PS,10000.0,68.0
PS,10000.0,71.0
PS,10000.0,67.0
PS,10000.0,62.0
PS,10000.0,78.0
PS,10000.0,64.0
PS,10000.0,62.0
