Plataforma,Ventas_japonesas,Calificacion_critica
PS,2540000.0,96.0
PS,3280000.0,92.0
PS,1690000.0,93.0
PS,3630000.0,90.0
PS,1400000.0,96.0
PS,1420000.0,91.0
PS,20000.0,87.0
PS,780000.0,94.0
PS,2020000.0,89.0
PS,1360000.0,89.0
PS,2780000.0,94.0
PS,200000.0,85.0
PS,1110000.0,91.0
PS,20000.0,92.0
PS,440000.0,88.0
PS,20000.0,62.0
PS,20000.0,98.0
PS,130000.0,91.0
PS,140000.0,64.0
PS,190000.0,68.0
PS,20000.0,87.0
PS,1340000.0,83.0
PS,1050000.0,81.0
PS,790000.0,88.0
PS,270000.0,87.0
PS,1460000.0,92.0
PS,390000.0,74.0
PS,690000.0,94.0
PS,20000.0,87.0
PS,320000.0,90.0
PS,300000.0,86.0
PS,20000.0,74.0
PS,890000.0,84.0
PS,210000.0,93.0
PS,530000.0,69.0
PS,280000.0,86.0
PS,430000.0,83.0
PS,650000.0,81.0
PS,720000.0,80.0
PS,660000.0,83.0
PS,510000.0,93.0
PS,740000.0,86.0
PS,20000.0,90.0
PS,560000.0,83.0
PS,300000.0,92.0
PS,660000.0,78.0
PS,630000.0,81.0
PS,710000.0,94.0
PS,200000.0,76.0
PS,290000.0,39.0
PS,380000.0,82.0
PS,160000.0,42.0
PS,340000.0,83.0
PS,60000.0,78.0
PS,290000.0,66.0
PS,160000.0,65.0
PS,100000.0,76.0
PS,280000.0,83.0
PS,120000.0,82.0
PS,100000.0,84.0
PS,180000.0,66.0
PS,120000.0,49.0
PS,100000.0,69.0
