Plataforma,Ventas_norteamerica,Calificacion_critica
PS,4019999.9999999995,96.0
PS,3010000.0,92.0
PS,3880000.0,93.0
PS,2280000.0,90.0
PS,3270000.0,96.0
PS,3680000.0,91.0
PS,3110000.0,87.0
PS,3180000.0,94.0
PS,1880000.0,89.0
PS,2260000.0,89.0
PS,1620000.0,94.0
PS,2300000.0,85.0
PS,2049999.9999999998,91.0
PS,3420000.0,92.0
PS,2570000.0,88.0
PS,2360000.0,62.0
PS,3050000.0,98.0
PS,2290000.0,91.0
PS,1370000.0,64.0
PS,1930000.0,91.0
PS,1130000.0,70.0
PS,1560000.0,68.0
PS,1700000.0,87.0
PS,2140000.0,88.0
PS,1440000.0,92.0
PS,930000.0,83.0
PS,1580000.0,86.0
PS,940000.0,81.0
PS,680000.0,88.0
PS,950000.0,87.0
PS,260000.0,92.0
PS,940000.0,74.0
PS,620000.0,94.0
PS,1580000.0,90.0
PS,1090000.0,87.0
PS,710000.0,90.0
PS,710000.0,86.0
PS,570000.0,74.0
PS,290000.0,84.0
PS,800000.0,77.0
PS,780000.0,88.0
PS,580000.0,93.0
PS,390000.0,69.0
PS,700000.0,86.0
PS,750000.0,85.0
PS,340000.0,86.0
PS,390000.0,83.0
PS,640000.0,51.0
PS,250000.0,81.0
PS,260000.0,80.0
PS,910000.0,82.0
PS,190000.0,83.0
PS,580000.0,91.0
PS,580000.0,42.0
PS,380000.0,93.0
PS,120000.0,86.0
PS,560000.0,73.0
PS,550000.0,88.0
PS,540000.0,86.0
PS,520000.0,66.0
PS,510000.0,61.0
PS,20000.0,90.0
PS,160000.0,83.0
PS,490000.0,48.0
PS,300000.0,92.0
PS,480000.0,53.0
PS,60000.0,78.0
PS,450000.0,73.0
PS,70000.0,81.0
PS,450000.0,80.0
PS,440000.0,34.0
PS,430000.0,78.0
PS,300000.0,76.0
PS,400000.0,72.0
PS,230000.0,39.0
PS,400000.0,43.0
PS,150000.0,82.0
PS,370000.0,69.0
PS,370000.0,58.0
PS,350000.0,88.0
PS,350000.0,54.0
PS,330000.0,70.0
PS,230000.0,42.0
PS,320000.0,77.0
PS,320000.0,79.0
PS,110000.0,83.0
PS,310000.0,65.0
PS,270000.0,78.0
PS,300000.0,80.0
PS,300000.0,51.0
PS,290000.0,55.0
PS,290000.0,89.0
PS,290000.0,73.0
PS,290000.0,68.0
PS,290000.0,81.0
PS,110000.0,66.0
PS,260000.0,65.0
PS,250000.0,63.0
PS,240000.0,76.0
PS,240000.0,91.0
PS,230000.0,69.0
PS,140000.0,65.0
PS,170000.0,76.0
PS,230000.0,56.0
PS,230000.0,84.0
PS,230000.0,62.0
PS,220000.0,62.0
PS,200000.0,54.0
PS,30000.0,83.0
PS,190000.0,86.0
PS,190000.0,89.0
PS,180000.0,69.0
PS,110000.0,82.0
PS,180000.0,85.0
PS,170000.0,26.0
PS,170000.0,66.0
PS,170000.0,53.0
PS,170000.0,74.0
PS,160000.0,71.0
PS,90000.0,84.0
PS,150000.0,51.0
PS,150000.0,67.0
PS,150000.0,57.0
PS,150000.0,71.0
PS,150000.0,76.0
PS,40000.0,66.0
PS,140000.0,93.0
PS,140000.0,30.0
PS,140000.0,53.0
PS,140000.0,89.0
PS,140000.0,48.0
PS,130000.0,61.0
PS,130000.0,78.0
PS,130000.0,86.0
PS,120000.0,40.0
PS,120000.0,26.0
PS,120000.0,28.0
PS,100000.0,84.0
PS,100000.0,72.0
PS,100000.0,68.0
PS,100000.0,51.0
PS,100000.0,60.0
PS,100000.0,73.0
PS,90000.0,35.0
PS,20000.0,49.0
PS,90000.0,61.0
PS,90000.0,77.0
PS,90000.0,55.0
PS,90000.0,57.0
PS,80000.0,30.0
PS,80000.0,81.0
PS,80000.0,76.0
PS,80000.0,65.0
PS,80000.0,70.0
PS,80000.0,69.0
PS,80000.0,53.0
PS,80000.0,83.0
PS,70000.0,69.0
PS,70000.0,75.0
PS,70000.0,64.0
PS,70000.0,63.0
PS,70000.0,79.0
PS,70000.0,72.0
PS,70000.0,70.0
PS,60000.0,43.0
PS,60000.0,46.0
PS,60000.0,64.0
PS,60000.0,51.0
PS,60000.0,82.0
PS,60000.0,68.0
PS,50000.0,61.0
PS,50000.0,85.0
PS,50000.0,63.0
PS,50000.0,85.0
PS,50000.0,69.0
PS,40000.0,80.0
PS,40000.0,37.0
PS,40000.0,62.0
PS,40000.0,79.0
PS,40000.0,57.0
PS,30000.0,57.0
PS,30000.0,27.0
PS,30000.0,34.0
PS,30000.0,76.0
PS,30000.0,48.0
PS,30000.0,69.0
PS,30000.0,73.0
PS,30000.0,62.0
PS,30000.0,71.0
PS,20000.0,74.0
PS,20000.0,41.0
PS,20000.0,68.0
PS,10000.0,71.0
PS,10000.0,67.0
PS,10000.0,62.0
PS,10000.0,78.0
PS,10000.0,64.0
PS,10000.0,62.0
