Plataforma,Ventas_europeas,Calificacion_critica
Wii,28960000.0,76.0
Wii,12760000.0,82.0
Wii,10930000.0,80.0
Wii,9180000.0,58.0
Wii,6940000.0,87.0
Wii,8029999.999999999,80.0
Wii,8490000.0,80.0
Wii,2550000.0,93.0
Wii,3350000.0,97.0
Wii,3110000.0,74.0
Wii,2850000.0,74.0
Wii,3470000.0,68.0
Wii,2240000.0,62.0
Wii,2350000.0,97.0
Wii,2990000.0,49.0
Wii,2140000.0,95.0
Wii,2160000.0,74.0
Wii,1790000.0,87.0
Wii,1550000.0,80.0
Wii,1170000.0,68.0
Wii,1120000.0,73.0
Wii,1110000.0,86.0
Wii,1330000.0,56.0
Wii,1470000.0,56.0
Wii,1160000.0,93.0
Wii,1350000.0,81.0
Wii,1910000.0,68.0
Wii,860000.0,85.0
Wii,960000.0,86.0
Wii,1110000.0,63.0
Wii,1090000.0,73.0
Wii,970000.0,74.0
Wii,630000.0,73.0
Wii,1120000.0,61.0
Wii,1040000.0,83.0
Wii,1130000.0,81.0
Wii,1190000.0,69.0
Wii,1050000.0,79.0
Wii,830000.0,78.0
Wii,850000.0,50.0
Wii,770000.0,25.0
Wii,930000.0,79.0
Wii,570000.0,71.0
Wii,610000.0,78.0
Wii,910000.0,74.0
Wii,840000.0,69.0
Wii,400000.0,84.0
Wii,670000.0,66.0
Wii,460000.0,62.0
Wii,560000.0,80.0
Wii,440000.0,64.0
Wii,520000.0,73.0
Wii,1080000.0,73.0
Wii,580000.0,83.0
Wii,830000.0,70.0
Wii,430000.0,29.0
Wii,660000.0,49.0
Wii,560000.0,71.0
Wii,820000.0,67.0
Wii,740000.0,90.0
Wii,600000.0,76.0
Wii,390000.0,89.0
Wii,160000.0,37.0
Wii,600000.0,78.0
Wii,400000.0,67.0
Wii,1020000.0,44.0
Wii,560000.0,78.0
Wii,210000.0,77.0
Wii,300000.0,56.0
Wii,540000.0,68.0
Wii,370000.0,53.0
Wii,480000.0,69.0
Wii,540000.0,38.0
Wii,670000.0,73.0
Wii,480000.0,89.0
Wii,430000.0,69.0
Wii,650000.0,64.0
Wii,430000.0,75.0
Wii,640000.0,76.0
Wii,750000.0,65.0
Wii,330000.0,63.0
Wii,470000.0,81.0
Wii,60000.0,76.0
Wii,380000.0,72.0
Wii,450000.0,80.0
Wii,520000.0,63.0
Wii,270000.0,79.0
Wii,470000.0,66.0
Wii,660000.0,67.0
Wii,140000.0,73.0
Wii,200000.0,30.0
Wii,390000.0,79.0
Wii,720000.0,68.0
Wii,670000.0,52.0
Wii,420000.0,76.0
Wii,550000.0,63.0
Wii,380000.0,85.0
Wii,630000.0,73.0
Wii,840000.0,83.0
Wii,160000.0,62.0
Wii,270000.0,80.0
Wii,740000.0,78.0
Wii,450000.0,61.0
Wii,90000.0,66.0
Wii,340000.0,54.0
Wii,690000.0,73.0
Wii,360000.0,88.0
Wii,460000.0,72.0
Wii,650000.0,71.0
Wii,310000.0,75.0
Wii,470000.0,67.0
Wii,320000.0,78.0
Wii,590000.0,65.0
Wii,10000.0,72.0
Wii,360000.0,72.0
Wii,280000.0,61.0
Wii,650000.0,48.0
Wii,10000.0,92.0
Wii,400000.0,51.0
Wii,460000.0,74.0
Wii,460000.0,64.0
Wii,290000.0,58.0
Wii,640000.0,75.0
Wii,500000.0,59.0
Wii,290000.0,79.0
Wii,400000.0,77.0
Wii,370000.0,82.0
Wii,170000.0,47.0
Wii,430000.0,85.0
Wii,30000.0,65.0
Wii,420000.0,60.0
Wii,320000.0,70.0
Wii,250000.0,92.0
Wii,320000.0,56.0
Wii,510000.0,80.0
Wii,370000.0,68.0
Wii,620000.0,69.0
Wii,270000.0,62.0
Wii,200000.0,76.0
Wii,210000.0,76.0
Wii,190000.0,71.0
Wii,620000.0,73.0
Wii,300000.0,78.0
Wii,40000.0,57.0
Wii,10000.0,82.0
Wii,310000.0,79.0
Wii,300000.0,69.0
Wii,200000.0,70.0
Wii,30000.0,65.0
Wii,210000.0,45.0
Wii,330000.0,49.0
Wii,290000.0,48.0
Wii,230000.0,81.0
Wii,490000.0,66.0
Wii,210000.0,69.0
Wii,230000.0,87.0
Wii,180000.0,71.0
Wii,390000.0,60.0
Wii,390000.0,58.0
Wii,190000.0,60.0
Wii,460000.0,62.0
Wii,80000.0,76.0
Wii,170000.0,78.0
Wii,420000.0,65.0
Wii,290000.0,55.0
Wii,40000.0,77.0
Wii,10000.0,65.0
Wii,220000.0,70.0
Wii,30000.0,63.0
Wii,30000.0,62.0
Wii,130000.0,80.0
Wii,280000.0,54.0
Wii,310000.0,54.0
Wii,40000.0,67.0
Wii,60000.0,91.0
Wii,260000.0,46.0
Wii,200000.0,80.0
Wii,90000.0,88.0
Wii,50000.0,91.0
Wii,80000.0,59.0
Wii,280000.0,35.0
Wii,120000.0,81.0
Wii,90000.0,90.0
Wii,220000.0,44.0
Wii,370000.0,68.0
Wii,210000.0,74.0
Wii,30000.0,70.0
Wii,180000.0,76.0
Wii,230000.0,69.0
Wii,300000.0,67.0
Wii,280000.0,62.0
Wii,170000.0,64.0
Wii,310000.0,50.0
Wii,160000.0,72.0
Wii,170000.0,83.0
Wii,20000.0,47.0
Wii,270000.0,92.0
Wii,250000.0,84.0
Wii,270000.0,41.0
Wii,10000.0,46.0
Wii,150000.0,85.0
