Plataforma,Ventas_japonesas,Calificacion_critica
Wii,3770000.0,76.0
Wii,3790000.0,82.0
Wii,3280000.0,80.0
Wii,2930000.0,58.0
Wii,4700000.0,87.0
Wii,3600000.0,80.0
Wii,2530000.0,80.0
Wii,2660000.0,93.0
Wii,1200000.0,97.0
Wii,10000.0,74.0
Wii,2490000.0,68.0
Wii,1580000.0,62.0
Wii,980000.0,97.0
Wii,600000.0,95.0
Wii,1030000.0,87.0
Wii,290000.0,68.0
Wii,1320000.0,73.0
Wii,10000.0,56.0
Wii,50000.0,56.0
Wii,370000.0,93.0
Wii,60000.0,81.0
Wii,410000.0,68.0
Wii,590000.0,85.0
Wii,460000.0,63.0
Wii,760000.0,73.0
Wii,120000.0,73.0
Wii,50000.0,61.0
Wii,730000.0,83.0
Wii,40000.0,69.0
Wii,240000.0,79.0
Wii,290000.0,50.0
Wii,40000.0,74.0
Wii,1050000.0,84.0
Wii,20000.0,66.0
Wii,630000.0,64.0
Wii,290000.0,69.0
Wii,70000.0,90.0
Wii,10000.0,78.0
Wii,140000.0,67.0
Wii,790000.0,77.0
Wii,40000.0,68.0
Wii,300000.0,53.0
Wii,10000.0,69.0
Wii,190000.0,69.0
Wii,330000.0,64.0
Wii,290000.0,75.0
Wii,10000.0,76.0
Wii,20000.0,76.0
Wii,130000.0,79.0
Wii,20000.0,67.0
Wii,110000.0,83.0
Wii,420000.0,62.0
Wii,10000.0,54.0
Wii,90000.0,72.0
Wii,200000.0,75.0
Wii,10000.0,65.0
Wii,260000.0,72.0
Wii,180000.0,60.0
Wii,160000.0,92.0
Wii,20000.0,56.0
Wii,10000.0,68.0
Wii,10000.0,51.0
Wii,10000.0,62.0
Wii,120000.0,76.0
Wii,20000.0,78.0
Wii,60000.0,65.0
Wii,90000.0,49.0
Wii,20000.0,81.0
Wii,80000.0,69.0
Wii,270000.0,60.0
Wii,20000.0,76.0
Wii,500000.0,65.0
Wii,330000.0,82.0
Wii,40000.0,63.0
Wii,180000.0,80.0
Wii,10000.0,54.0
Wii,110000.0,46.0
Wii,10000.0,80.0
Wii,10000.0,59.0
Wii,110000.0,81.0
Wii,40000.0,90.0
Wii,20000.0,72.0
Wii,40000.0,83.0
Wii,30000.0,85.0
Wii,80000.0,72.0
Wii,20000.0,41.0
Wii,240000.0,68.0
Wii,60000.0,82.0
Wii,170000.0,78.0
Wii,170000.0,68.0
Wii,70000.0,48.0
Wii,10000.0,82.0
Wii,10000.0,79.0
Wii,40000.0,67.0
Wii,10000.0,53.0
Wii,320000.0,55.0
Wii,10000.0,70.0
Wii,10000.0,73.0
Wii,40000.0,69.0
Wii,40000.0,84.0
Wii,250000.0,69.0
Wii,80000.0,66.0
Wii,40000.0,79.0
Wii,60000.0,67.0
Wii,80000.0,75.0
Wii,30000.0,80.0
Wii,80000.0,75.0
Wii,80000.0,58.0
Wii,80000.0,73.0
Wii,80000.0,76.0
Wii,20000.0,87.0
Wii,10000.0,77.0
Wii,40000.0,83.0
Wii,200000.0,65.0
Wii,50000.0,61.0
Wii,10000.0,64.0
Wii,250000.0,59.0
Wii,50000.0,64.0
Wii,60000.0,62.0
Wii,30000.0,78.0
Wii,70000.0,72.0
Wii,30000.0,79.0
Wii,110000.0,76.0
Wii,30000.0,70.0
Wii,30000.0,65.0
Wii,110000.0,71.0
Wii,60000.0,64.0
Wii,110000.0,67.0
Wii,50000.0,38.0
Wii,20000.0,82.0
Wii,10000.0,70.0
Wii,30000.0,57.0
Wii,10000.0,49.0
Wii,10000.0,67.0
Wii,30000.0,77.0
Wii,40000.0,53.0
Wii,60000.0,59.0
Wii,10000.0,35.0
Wii,30000.0,69.0
Wii,10000.0,76.0
Wii,10000.0,79.0
Wii,10000.0,74.0
Wii,10000.0,68.0
Wii,30000.0,70.0
Wii,10000.0,39.0
Wii,10000.0,65.0
Wii,40000.0,69.0
Wii,10000.0,37.0
Wii,30000.0,66.0
Wii,10000.0,47.0
