Plataforma,Ventas_norteamerica,Calificacion_critica
Wii,41360000.0,76.0
Wii,15680000.0,82.0
Wii,15610000.0,80.0
Wii,13960000.0,58.0
Wii,14440000.0,87.0
Wii,8920000.0,80.0
Wii,9010000.0,80.0
Wii,6620000.0,93.0
Wii,6060000.0,97.0
Wii,5950000.0,74.0
Wii,5800000.0,74.0
Wii,1750000.0,68.0
Wii,3740000.0,62.0
Wii,3560000.0,97.0
Wii,3480000.0,49.0
Wii,3740000.0,95.0
Wii,4050000.0,74.0
Wii,3170000.0,87.0
Wii,3570000.0,80.0
Wii,3050000.0,68.0
Wii,1820000.0,73.0
Wii,3040000.0,86.0
Wii,2640000.0,56.0
Wii,2120000.0,56.0
Wii,2029999.9999999998,93.0
Wii,2089999.9999999998,81.0
Wii,1050000.0,68.0
Wii,1950000.0,85.0
Wii,2320000.0,86.0
Wii,1350000.0,63.0
Wii,1060000.0,73.0
Wii,1800000.0,74.0
Wii,2040000.0,73.0
Wii,1410000.0,61.0
Wii,860000.0,83.0
Wii,1350000.0,81.0
Wii,1210000.0,69.0
Wii,1050000.0,79.0
Wii,1480000.0,78.0
Wii,1110000.0,50.0
Wii,1470000.0,25.0
Wii,1280000.0,79.0
Wii,1650000.0,71.0
Wii,1510000.0,78.0
Wii,1050000.0,74.0
Wii,1170000.0,69.0
Wii,650000.0,84.0
Wii,1260000.0,66.0
Wii,1490000.0,62.0
Wii,1330000.0,80.0
Wii,880000.0,64.0
Wii,1350000.0,73.0
Wii,720000.0,73.0
Wii,1170000.0,83.0
Wii,1480000.0,69.0
Wii,860000.0,70.0
Wii,1280000.0,29.0
Wii,1040000.0,49.0
Wii,1110000.0,71.0
Wii,820000.0,67.0
Wii,890000.0,90.0
Wii,1010000.0,76.0
Wii,1170000.0,89.0
Wii,1400000.0,37.0
Wii,920000.0,78.0
Wii,970000.0,67.0
Wii,450000.0,44.0
Wii,930000.0,78.0
Wii,580000.0,77.0
Wii,1210000.0,56.0
Wii,900000.0,68.0
Wii,780000.0,53.0
Wii,940000.0,69.0
Wii,860000.0,38.0
Wii,730000.0,73.0
Wii,920000.0,89.0
Wii,780000.0,69.0
Wii,420000.0,64.0
Wii,670000.0,75.0
Wii,700000.0,76.0
Wii,520000.0,65.0
Wii,960000.0,63.0
Wii,800000.0,81.0
Wii,1220000.0,76.0
Wii,900000.0,72.0
Wii,800000.0,80.0
Wii,700000.0,63.0
Wii,850000.0,79.0
Wii,1200000.0,56.0
Wii,680000.0,66.0
Wii,450000.0,67.0
Wii,1030000.0,73.0
Wii,960000.0,30.0
Wii,760000.0,79.0
Wii,390000.0,68.0
Wii,450000.0,52.0
Wii,690000.0,76.0
Wii,540000.0,63.0
Wii,710000.0,85.0
Wii,440000.0,73.0
Wii,90000.0,83.0
Wii,530000.0,62.0
Wii,760000.0,80.0
Wii,250000.0,78.0
Wii,530000.0,61.0
Wii,910000.0,66.0
Wii,640000.0,54.0
Wii,260000.0,73.0
Wii,600000.0,88.0
Wii,430000.0,72.0
Wii,280000.0,71.0
Wii,460000.0,75.0
Wii,460000.0,67.0
Wii,610000.0,78.0
Wii,320000.0,65.0
Wii,930000.0,72.0
Wii,320000.0,72.0
Wii,640000.0,61.0
Wii,250000.0,48.0
Wii,930000.0,92.0
Wii,510000.0,51.0
Wii,440000.0,74.0
Wii,450000.0,64.0
Wii,930000.0,67.0
Wii,610000.0,58.0
Wii,230000.0,75.0
Wii,380000.0,59.0
Wii,590000.0,79.0
Wii,470000.0,77.0
Wii,490000.0,82.0
Wii,690000.0,47.0
Wii,400000.0,85.0
Wii,830000.0,65.0
Wii,230000.0,60.0
Wii,500000.0,70.0
Wii,430000.0,92.0
Wii,480000.0,56.0
Wii,280000.0,80.0
Wii,410000.0,68.0
Wii,800000.0,51.0
Wii,800000.0,76.0
Wii,150000.0,69.0
Wii,510000.0,62.0
Wii,590000.0,76.0
Wii,460000.0,76.0
Wii,600000.0,71.0
Wii,120000.0,73.0
Wii,440000.0,78.0
Wii,740000.0,57.0
Wii,760000.0,82.0
Wii,440000.0,79.0
Wii,450000.0,69.0
Wii,550000.0,70.0
Wii,670000.0,65.0
Wii,520000.0,45.0
Wii,310000.0,49.0
Wii,430000.0,48.0
Wii,450000.0,81.0
Wii,180000.0,66.0
Wii,420000.0,69.0
Wii,450000.0,87.0
Wii,520000.0,71.0
Wii,280000.0,60.0
Wii,280000.0,58.0
Wii,260000.0,60.0
Wii,210000.0,62.0
Wii,680000.0,49.0
Wii,580000.0,76.0
Wii,490000.0,78.0
Wii,230000.0,65.0
Wii,360000.0,55.0
Wii,620000.0,77.0
Wii,680000.0,75.0
Wii,180000.0,65.0
Wii,410000.0,70.0
Wii,330000.0,82.0
Wii,540000.0,63.0
Wii,590000.0,62.0
Wii,300000.0,80.0
Wii,290000.0,54.0
Wii,270000.0,54.0
Wii,560000.0,67.0
Wii,530000.0,91.0
Wii,190000.0,46.0
Wii,350000.0,80.0
Wii,480000.0,88.0
Wii,420000.0,91.0
Wii,470000.0,59.0
Wii,260000.0,35.0
Wii,320000.0,81.0
Wii,430000.0,90.0
Wii,300000.0,44.0
Wii,150000.0,68.0
Wii,310000.0,74.0
Wii,500000.0,70.0
Wii,350000.0,76.0
Wii,280000.0,69.0
Wii,200000.0,67.0
Wii,220000.0,62.0
Wii,340000.0,64.0
Wii,190000.0,50.0
Wii,330000.0,72.0
Wii,290000.0,83.0
Wii,490000.0,47.0
Wii,210000.0,92.0
Wii,230000.0,84.0
Wii,220000.0,41.0
Wii,480000.0,46.0
Wii,300000.0,85.0
Wii,250000.0,62.0
Wii,390000.0,72.0
Wii,490000.0,47.0
Wii,460000.0,41.0
Wii,210000.0,68.0
Wii,470000.0,56.0
Wii,250000.0,69.0
Wii,120000.0,82.0
Wii,440000.0,74.0
Wii,460000.0,68.0
Wii,170000.0,83.0
Wii,430000.0,62.0
Wii,450000.0,59.0
Wii,460000.0,81.0
Wii,440000.0,57.0
Wii,430000.0,57.0
Wii,270000.0,78.0
Wii,250000.0,68.0
Wii,420000.0,53.0
Wii,60000.0,37.0
Wii,410000.0,82.0
Wii,190000.0,68.0
Wii,410000.0,65.0
Wii,140000.0,41.0
Wii,370000.0,48.0
Wii,320000.0,82.0
Wii,220000.0,79.0
Wii,140000.0,56.0
Wii,430000.0,71.0
Wii,360000.0,67.0
Wii,380000.0,69.0
Wii,170000.0,50.0
Wii,290000.0,72.0
Wii,330000.0,86.0
Wii,130000.0,70.0
Wii,390000.0,69.0
Wii,390000.0,53.0
Wii,180000.0,50.0
Wii,420000.0,78.0
Wii,260000.0,66.0
Wii,190000.0,69.0
Wii,90000.0,55.0
Wii,250000.0,65.0
Wii,410000.0,53.0
Wii,380000.0,70.0
Wii,240000.0,63.0
Wii,400000.0,60.0
Wii,350000.0,70.0
Wii,230000.0,70.0
Wii,390000.0,70.0
Wii,230000.0,59.0
Wii,390000.0,76.0
Wii,380000.0,68.0
Wii,330000.0,73.0
Wii,320000.0,69.0
Wii,270000.0,43.0
Wii,360000.0,79.0
Wii,350000.0,59.0
Wii,360000.0,73.0
Wii,350000.0,61.0
Wii,200000.0,84.0
Wii,140000.0,69.0
Wii,210000.0,66.0
Wii,340000.0,72.0
Wii,350000.0,52.0
Wii,340000.0,70.0
Wii,100000.0,51.0
Wii,340000.0,66.0
Wii,120000.0,73.0
Wii,110000.0,68.0
Wii,160000.0,79.0
Wii,160000.0,79.0
Wii,160000.0,67.0
Wii,220000.0,76.0
Wii,300000.0,49.0
Wii,310000.0,63.0
Wii,300000.0,60.0
Wii,320000.0,79.0
Wii,330000.0,67.0
Wii,320000.0,27.0
Wii,200000.0,85.0
Wii,230000.0,74.0
Wii,220000.0,75.0
Wii,280000.0,80.0
Wii,300000.0,62.0
Wii,170000.0,54.0
Wii,170000.0,47.0
Wii,290000.0,74.0
Wii,290000.0,65.0
Wii,280000.0,70.0
Wii,170000.0,65.0
Wii,150000.0,41.0
Wii,220000.0,75.0
Wii,250000.0,50.0
Wii,210000.0,58.0
Wii,270000.0,45.0
Wii,290000.0,58.0
Wii,270000.0,73.0
Wii,110000.0,73.0
Wii,140000.0,58.0
Wii,280000.0,46.0
Wii,280000.0,26.0
Wii,160000.0,76.0
Wii,240000.0,72.0
Wii,160000.0,67.0
Wii,100000.0,60.0
Wii,140000.0,87.0
Wii,230000.0,69.0
Wii,240000.0,70.0
Wii,220000.0,77.0
Wii,260000.0,68.0
Wii,230000.0,83.0
Wii,260000.0,71.0
Wii,60000.0,65.0
Wii,150000.0,61.0
