Plataforma,Ventas_japonesas,Calificacion_critica
WiiU,1280000.0,88.0
WiiU,1270000.0,84.0
WiiU,1460000.0,81.0
WiiU,460000.0,77.0
WiiU,730000.0,93.0
WiiU,940000.0,88.0
WiiU,180000.0,77.0
WiiU,840000.0,65.0
WiiU,240000.0,66.0
WiiU,160000.0,83.0
WiiU,110000.0,78.0
WiiU,130000.0,76.0
WiiU,190000.0,81.0
WiiU,290000.0,87.0
WiiU,130000.0,80.0
WiiU,80000.0,86.0
WiiU,50000.0,77.0
WiiU,170000.0,76.0
WiiU,210000.0,72.0
WiiU,140000.0,84.0
WiiU,100000.0,91.0
WiiU,20000.0,82.0
WiiU,30000.0,92.0
WiiU,30000.0,68.0
WiiU,20000.0,71.0
WiiU,120000.0,73.0
WiiU,140000.0,58.0
WiiU,50000.0,75.0
WiiU,90000.0,46.0
WiiU,80000.0,78.0
WiiU,10000.0,63.0
WiiU,40000.0,68.0
WiiU,70000.0,69.0
WiiU,10000.0,69.0
WiiU,80000.0,71.0
WiiU,10000.0,57.0
WiiU,30000.0,80.0
WiiU,10000.0,74.0
WiiU,10000.0,45.0
WiiU,80000.0,67.0
WiiU,20000.0,64.0
WiiU,20000.0,66.0
WiiU,20000.0,40.0
WiiU,10000.0,70.0
WiiU,10000.0,82.0
