Plataforma,Ventas_norteamerica,Calificacion_critica
XB,6820000.0,95.0
XB,4980000.0,97.0
XB,1850000.0,93.0
XB,2089999.9999999998,87.0
XB,1990000.0,85.0
XB,1380000.0,77.0
XB,1680000.0,94.0
XB,1370000.0,85.0
XB,1260000.0,93.0
XB,1750000.0,86.0
XB,1190000.0,87.0
XB,1230000.0,84.0
XB,1240000.0,80.0
XB,1610000.0,91.0
XB,1090000.0,83.0
XB,1220000.0,83.0
XB,1540000.0,92.0
XB,910000.0,86.0
XB,1000000.0,81.0
XB,820000.0,93.0
XB,1070000.0,79.0
XB,960000.0,77.0
XB,990000.0,86.0
XB,860000.0,80.0
XB,850000.0,88.0
XB,840000.0,94.0
XB,850000.0,85.0
XB,820000.0,61.0
XB,920000.0,91.0
XB,590000.0,70.0
XB,980000.0,89.0
XB,930000.0,70.0
XB,780000.0,73.0
XB,720000.0,65.0
XB,760000.0,84.0
XB,760000.0,65.0
XB,710000.0,84.0
XB,1010000.0,87.0
XB,990000.0,84.0
XB,660000.0,78.0
XB,820000.0,83.0
XB,850000.0,74.0
XB,680000.0,94.0
XB,1020000.0,92.0
XB,780000.0,61.0
XB,520000.0,92.0
XB,530000.0,83.0
XB,970000.0,83.0
XB,780000.0,92.0
XB,740000.0,79.0
XB,730000.0,87.0
XB,330000.0,81.0
XB,770000.0,81.0
XB,880000.0,85.0
XB,700000.0,86.0
XB,570000.0,92.0
XB,590000.0,90.0
XB,770000.0,59.0
XB,610000.0,75.0
XB,410000.0,73.0
XB,650000.0,71.0
XB,620000.0,82.0
XB,810000.0,85.0
XB,650000.0,88.0
XB,610000.0,81.0
XB,480000.0,65.0
XB,640000.0,88.0
XB,620000.0,77.0
XB,580000.0,78.0
XB,680000.0,75.0
XB,690000.0,78.0
XB,480000.0,83.0
XB,240000.0,82.0
XB,360000.0,56.0
XB,610000.0,81.0
XB,480000.0,83.0
XB,610000.0,84.0
XB,590000.0,83.0
XB,540000.0,80.0
XB,540000.0,84.0
XB,530000.0,73.0
XB,450000.0,79.0
XB,670000.0,92.0
XB,530000.0,77.0
XB,520000.0,58.0
XB,480000.0,89.0
XB,540000.0,89.0
XB,620000.0,89.0
XB,630000.0,89.0
XB,290000.0,80.0
XB,510000.0,85.0
XB,490000.0,84.0
XB,480000.0,78.0
XB,490000.0,81.0
XB,480000.0,63.0
XB,490000.0,88.0
XB,470000.0,84.0
XB,430000.0,83.0
XB,570000.0,79.0
XB,290000.0,88.0
XB,410000.0,78.0
XB,200000.0,88.0
XB,380000.0,87.0
XB,400000.0,77.0
XB,470000.0,89.0
XB,460000.0,72.0
XB,370000.0,90.0
XB,420000.0,88.0
XB,440000.0,90.0
XB,360000.0,73.0
XB,330000.0,85.0
XB,530000.0,90.0
XB,320000.0,85.0
XB,430000.0,71.0
XB,420000.0,74.0
XB,450000.0,70.0
XB,390000.0,87.0
XB,400000.0,81.0
XB,390000.0,80.0
XB,430000.0,68.0
XB,390000.0,71.0
XB,520000.0,81.0
XB,420000.0,88.0
XB,400000.0,68.0
XB,340000.0,93.0
XB,400000.0,72.0
XB,390000.0,68.0
XB,400000.0,74.0
XB,400000.0,74.0
XB,420000.0,82.0
XB,430000.0,84.0
XB,460000.0,74.0
XB,400000.0,78.0
XB,340000.0,82.0
XB,320000.0,89.0
XB,320000.0,72.0
XB,310000.0,59.0
XB,390000.0,90.0
XB,380000.0,79.0
XB,440000.0,85.0
XB,370000.0,66.0
XB,370000.0,82.0
XB,420000.0,86.0
XB,300000.0,83.0
XB,340000.0,61.0
XB,370000.0,76.0
XB,360000.0,66.0
XB,360000.0,78.0
XB,350000.0,81.0
XB,350000.0,74.0
XB,360000.0,89.0
XB,340000.0,86.0
XB,320000.0,89.0
XB,340000.0,76.0
XB,340000.0,56.0
XB,360000.0,68.0
XB,60000.0,89.0
XB,300000.0,84.0
XB,350000.0,88.0
XB,330000.0,50.0
XB,330000.0,85.0
XB,340000.0,81.0
XB,350000.0,78.0
XB,320000.0,88.0
XB,400000.0,88.0
XB,330000.0,74.0
XB,310000.0,84.0
XB,320000.0,88.0
XB,350000.0,71.0
XB,320000.0,78.0
XB,310000.0,77.0
XB,300000.0,76.0
XB,260000.0,74.0
XB,320000.0,80.0
XB,350000.0,76.0
XB,260000.0,77.0
XB,290000.0,72.0
XB,290000.0,92.0
XB,290000.0,84.0
XB,290000.0,86.0
XB,280000.0,79.0
XB,280000.0,75.0
XB,280000.0,76.0
XB,310000.0,82.0
XB,270000.0,84.0
XB,270000.0,81.0
XB,270000.0,91.0
XB,270000.0,77.0
XB,250000.0,49.0
XB,260000.0,49.0
XB,260000.0,78.0
XB,220000.0,70.0
XB,250000.0,75.0
XB,250000.0,71.0
XB,250000.0,61.0
XB,210000.0,66.0
XB,250000.0,69.0
XB,250000.0,84.0
XB,250000.0,82.0
XB,260000.0,83.0
XB,240000.0,71.0
XB,280000.0,89.0
XB,240000.0,87.0
XB,240000.0,74.0
XB,240000.0,81.0
XB,220000.0,80.0
XB,240000.0,70.0
XB,230000.0,72.0
XB,230000.0,73.0
XB,230000.0,78.0
XB,230000.0,85.0
XB,230000.0,81.0
XB,240000.0,74.0
XB,230000.0,32.0
XB,230000.0,76.0
XB,220000.0,56.0
XB,220000.0,48.0
XB,220000.0,72.0
XB,220000.0,72.0
XB,220000.0,76.0
XB,220000.0,65.0
XB,210000.0,80.0
XB,210000.0,85.0
XB,210000.0,58.0
XB,210000.0,58.0
XB,220000.0,85.0
XB,210000.0,68.0
XB,210000.0,80.0
XB,210000.0,84.0
XB,210000.0,71.0
XB,210000.0,60.0
XB,210000.0,65.0
XB,200000.0,79.0
XB,180000.0,87.0
XB,200000.0,79.0
XB,200000.0,89.0
XB,200000.0,62.0
XB,200000.0,84.0
XB,200000.0,78.0
XB,200000.0,87.0
XB,160000.0,90.0
XB,190000.0,77.0
XB,190000.0,88.0
XB,190000.0,79.0
XB,190000.0,77.0
XB,190000.0,77.0
XB,190000.0,52.0
XB,190000.0,64.0
XB,200000.0,80.0
XB,190000.0,73.0
XB,190000.0,79.0
XB,190000.0,68.0
XB,160000.0,74.0
XB,190000.0,75.0
XB,190000.0,70.0
XB,140000.0,83.0
XB,180000.0,53.0
XB,180000.0,88.0
XB,180000.0,75.0
XB,180000.0,52.0
XB,180000.0,51.0
XB,180000.0,81.0
XB,180000.0,59.0
XB,180000.0,77.0
XB,180000.0,85.0
XB,180000.0,79.0
XB,180000.0,68.0
XB,170000.0,85.0
XB,170000.0,84.0
XB,170000.0,66.0
XB,170000.0,82.0
XB,170000.0,61.0
XB,170000.0,60.0
XB,160000.0,77.0
XB,160000.0,19.0
XB,160000.0,58.0
XB,160000.0,76.0
XB,160000.0,83.0
XB,160000.0,70.0
XB,160000.0,74.0
XB,160000.0,75.0
XB,160000.0,65.0
XB,170000.0,64.0
XB,160000.0,65.0
XB,130000.0,88.0
XB,150000.0,80.0
XB,150000.0,74.0
XB,150000.0,58.0
XB,150000.0,78.0
XB,150000.0,76.0
XB,140000.0,69.0
XB,150000.0,87.0
XB,150000.0,79.0
XB,150000.0,90.0
XB,150000.0,70.0
XB,150000.0,82.0
XB,150000.0,72.0
XB,150000.0,40.0
XB,150000.0,75.0
XB,150000.0,71.0
XB,150000.0,67.0
XB,150000.0,76.0
XB,150000.0,62.0
XB,150000.0,78.0
XB,150000.0,83.0
XB,150000.0,59.0
XB,140000.0,74.0
XB,140000.0,74.0
XB,140000.0,79.0
XB,140000.0,72.0
XB,140000.0,67.0
XB,120000.0,82.0
XB,140000.0,76.0
XB,140000.0,69.0
XB,130000.0,81.0
XB,140000.0,69.0
XB,140000.0,73.0
XB,140000.0,68.0
XB,140000.0,51.0
XB,140000.0,61.0
XB,140000.0,61.0
XB,150000.0,64.0
XB,140000.0,35.0
