Plataforma,Ventas_norteamerica,Calificacion_critica
XOne,2810000.0,97.0
XOne,3220000.0,81.0
XOne,2780000.0,84.0
XOne,2510000.0,88.0
XOne,2270000.0,72.0
XOne,2140000.0,75.0
XOne,2610000.0,82.0
XOne,890000.0,84.0
XOne,1910000.0,85.0
XOne,1840000.0,86.0
XOne,1880000.0,78.0
XOne,430000.0,84.0
XOne,1460000.0,78.0
XOne,2080000.0,84.0
XOne,1950000.0,86.0
XOne,1280000.0,87.0
XOne,1210000.0,79.0
XOne,600000.0,82.0
XOne,1290000.0,80.0
XOne,1250000.0,81.0
XOne,730000.0,87.0
XOne,1370000.0,82.0
XOne,800000.0,82.0
XOne,1060000.0,78.0
XOne,900000.0,78.0
XOne,1310000.0,80.0
XOne,880000.0,85.0
XOne,500000.0,86.0
XOne,830000.0,60.0
XOne,1030000.0,86.0
XOne,550000.0,86.0
XOne,730000.0,87.0
XOne,780000.0,84.0
XOne,770000.0,74.0
XOne,690000.0,91.0
XOne,620000.0,78.0
XOne,860000.0,74.0
XOne,780000.0,77.0
XOne,1080000.0,83.0
XOne,720000.0,71.0
XOne,850000.0,89.0
XOne,410000.0,88.0
XOne,630000.0,81.0
XOne,420000.0,91.0
XOne,630000.0,91.0
XOne,860000.0,90.0
XOne,560000.0,85.0
XOne,700000.0,86.0
XOne,440000.0,71.0
XOne,470000.0,77.0
XOne,670000.0,73.0
XOne,490000.0,84.0
XOne,410000.0,95.0
XOne,390000.0,76.0
XOne,460000.0,75.0
XOne,340000.0,79.0
XOne,350000.0,79.0
XOne,380000.0,70.0
XOne,250000.0,64.0
XOne,370000.0,74.0
XOne,280000.0,67.0
XOne,300000.0,60.0
XOne,320000.0,72.0
XOne,370000.0,87.0
XOne,290000.0,56.0
XOne,300000.0,77.0
XOne,300000.0,81.0
XOne,350000.0,70.0
XOne,350000.0,69.0
XOne,220000.0,78.0
XOne,290000.0,80.0
XOne,380000.0,80.0
XOne,380000.0,79.0
XOne,300000.0,70.0
XOne,300000.0,71.0
XOne,260000.0,80.0
XOne,230000.0,74.0
XOne,240000.0,76.0
XOne,220000.0,80.0
XOne,310000.0,59.0
XOne,260000.0,87.0
XOne,170000.0,83.0
XOne,190000.0,71.0
XOne,200000.0,63.0
XOne,130000.0,91.0
XOne,250000.0,66.0
XOne,180000.0,67.0
XOne,210000.0,81.0
XOne,140000.0,76.0
XOne,150000.0,76.0
XOne,160000.0,60.0
XOne,130000.0,69.0
XOne,120000.0,68.0
XOne,110000.0,81.0
XOne,80000.0,64.0
XOne,120000.0,80.0
XOne,170000.0,76.0
XOne,200000.0,77.0
XOne,170000.0,73.0
XOne,50000.0,87.0
XOne,120000.0,88.0
XOne,100000.0,71.0
XOne,170000.0,53.0
XOne,160000.0,36.0
XOne,110000.0,73.0
XOne,110000.0,23.0
XOne,150000.0,74.0
XOne,80000.0,58.0
XOne,110000.0,73.0
XOne,90000.0,83.0
XOne,90000.0,72.0
XOne,80000.0,51.0
XOne,110000.0,53.0
XOne,80000.0,84.0
XOne,110000.0,77.0
XOne,70000.0,75.0
XOne,100000.0,71.0
XOne,80000.0,63.0
XOne,30000.0,79.0
XOne,60000.0,49.0
XOne,90000.0,75.0
XOne,90000.0,85.0
XOne,40000.0,86.0
XOne,40000.0,65.0
XOne,90000.0,39.0
XOne,50000.0,77.0
XOne,90000.0,60.0
XOne,50000.0,62.0
XOne,40000.0,85.0
XOne,40000.0,54.0
XOne,70000.0,75.0
XOne,50000.0,78.0
XOne,30000.0,20.0
XOne,30000.0,74.0
XOne,40000.0,58.0
XOne,30000.0,60.0
XOne,20000.0,76.0
XOne,50000.0,66.0
XOne,50000.0,60.0
XOne,30000.0,35.0
XOne,20000.0,67.0
XOne,30000.0,48.0
XOne,40000.0,77.0
XOne,10000.0,87.0
XOne,20000.0,87.0
XOne,40000.0,63.0
XOne,30000.0,55.0
XOne,30000.0,81.0
XOne,30000.0,75.0
XOne,30000.0,64.0
XOne,10000.0,74.0
XOne,20000.0,45.0
XOne,10000.0,68.0
XOne,20000.0,70.0
XOne,10000.0,52.0
XOne,20000.0,55.0
XOne,10000.0,80.0
XOne,10000.0,75.0
XOne,10000.0,56.0
XOne,10000.0,66.0
XOne,10000.0,74.0
