Plataforma,Ventas_norteamerica,Calificacion_critica
N64,4099999.9999999995,99.0
N64,1550000.0,97.0
N64,5800000.0,96.0
N64,1900000.0,95.0
N64,6910000.0,94.0
N64,580000.0,93.0
N64,1870000.0,92.0
N64,1980000.0,92.0
N64,530000.0,92.0
N64,780000.0,91.0
N64,620000.0,91.0
N64,400000.0,90.0
N64,3330000.0,90.0
N64,390000.0,90.0
N64,820000.0,90.0
N64,390000.0,89.0
N64,1200000.0,89.0
N64,650000.0,88.0
N64,2910000.0,88.0
N64,2780000.0,88.0
N64,1370000.0,86.0
N64,450000.0,85.0
N64,1600000.0,85.0
N64,550000.0,85.0
N64,590000.0,84.0
N64,280000.0,84.0
N64,120000.0,83.0
N64,5550000.0,83.0
N64,470000.0,82.0
N64,360000.0,81.0
N64,1130000.0,81.0
N64,780000.0,80.0
N64,130000.0,80.0
N64,560000.0,80.0
N64,2950000.0,79.0
N64,1250000.0,79.0
N64,250000.0,78.0
N64,440000.0,78.0
N64,190000.0,77.0
N64,2230000.0,77.0
N64,120000.0,77.0
N64,630000.0,77.0
N64,140000.0,75.0
N64,720000.0,74.0
N64,150000.0,74.0
N64,160000.0,73.0
N64,350000.0,73.0
N64,430000.0,72.0
N64,370000.0,71.0
N64,340000.0,71.0
N64,70000.0,67.0
N64,1290000.0,65.0
N64,740000.0,61.0
N64,10000.0,58.0
N64,830000.0,57.0
N64,110000.0,57.0
