Plataforma,Ventas_norteamerica,Calificacion_critica
PS2,9430000.0,95.0
PS2,8410000.0,95.0
PS2,6850000.0,95.0
PS2,6990000.0,97.0
PS2,3010000.0,89.0
PS2,2910000.0,92.0
PS2,3270000.0,85.0
PS2,2710000.0,82.0
PS2,2930000.0,88.0
PS2,3640000.0,85.0
PS2,2450000.0,96.0
PS2,1880000.0,92.0
PS2,2069999.9999999998,66.0
PS2,1920000.0,85.0
PS2,4260000.0,94.0
PS2,650000.0,89.0
PS2,1980000.0,68.0
PS2,3810000.0,92.0
PS2,3490000.0,82.0
PS2,3980000.0,88.0
PS2,1940000.0,82.0
PS2,4179999.9999999995,91.0
PS2,3630000.0,84.0
PS2,2710000.0,76.0
PS2,2710000.0,94.0
PS2,2660000.0,97.0
PS2,100000.0,86.0
PS2,2029999.9999999998,82.0
PS2,2200000.0,87.0
PS2,1460000.0,91.0
PS2,780000.0,80.0
PS2,880000.0,80.0
PS2,3360000.0,95.0
PS2,2320000.0,93.0
PS2,1680000.0,85.0
PS2,2080000.0,61.0
PS2,2290000.0,90.0
PS2,930000.0,88.0
PS2,160000.0,91.0
PS2,580000.0,81.0
PS2,2130000.0,94.0
PS2,2530000.0,82.0
PS2,2080000.0,90.0
PS2,50000.0,82.0
PS2,2080000.0,96.0
PS2,1930000.0,82.0
PS2,2020000.0,64.0
PS2,2180000.0,84.0
PS2,1560000.0,78.0
PS2,1230000.0,72.0
PS2,1900000.0,72.0
PS2,590000.0,84.0
PS2,1550000.0,79.0
PS2,1750000.0,80.0
PS2,460000.0,88.0
PS2,1450000.0,77.0
PS2,1470000.0,60.0
PS2,1990000.0,80.0
PS2,1500000.0,85.0
PS2,1890000.0,77.0
PS2,1780000.0,62.0
PS2,2060000.0,89.0
PS2,680000.0,83.0
PS2,2170000.0,67.0
PS2,2500000.0,94.0
PS2,1150000.0,73.0
PS2,120000.0,93.0
PS2,1360000.0,94.0
PS2,1040000.0,64.0
PS2,1360000.0,85.0
PS2,2220000.0,87.0
PS2,1540000.0,73.0
PS2,80000.0,93.0
PS2,990000.0,85.0
PS2,1510000.0,76.0
PS2,2190000.0,89.0
PS2,1680000.0,87.0
PS2,1410000.0,83.0
PS2,990000.0,86.0
PS2,1850000.0,84.0
PS2,1230000.0,93.0
PS2,1480000.0,77.0
PS2,1150000.0,89.0
PS2,2000000.0,78.0
PS2,2150000.0,90.0
PS2,900000.0,71.0
PS2,2029999.9999999998,84.0
PS2,1400000.0,80.0
PS2,2140000.0,78.0
PS2,1130000.0,80.0
PS2,1810000.0,79.0
PS2,1070000.0,81.0
PS2,1630000.0,66.0
PS2,2069999.9999999998,82.0
PS2,690000.0,62.0
PS2,1670000.0,91.0
PS2,960000.0,62.0
PS2,1250000.0,83.0
PS2,920000.0,71.0
PS2,1080000.0,84.0
PS2,850000.0,84.0
PS2,380000.0,82.0
PS2,620000.0,84.0
PS2,880000.0,92.0
PS2,1920000.0,82.0
PS2,1040000.0,77.0
PS2,1680000.0,89.0
PS2,630000.0,78.0
PS2,990000.0,84.0
